Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,"Population ages 00-04, male",SP.POP.0004.MA,2874440
Afghanistan,AFG,"Population ages 05-09, female",SP.POP.0509.FE,2632208
Afghanistan,AFG,"Population ages 05-09, male",SP.POP.0509.MA,2756089
Afghanistan,AFG,"Population ages 10-14, female",SP.POP.1014.FE,2455126
Afghanistan,AFG,"Population ages 10-14, male",SP.POP.1014.MA,2572695
Afghanistan,AFG,"Population ages 00-04, female",SP.POP.0004.FE,2727073
Afghanistan,AFG,"Population ages 15-19, female",SP.POP.1519.FE,2148072
Afghanistan,AFG,"Population ages 15-19, male",SP.POP.1519.MA,2266701
Afghanistan,AFG,"Population ages 20-24, female",SP.POP.2024.FE,1774121
Afghanistan,AFG,"Population ages 20-24, male",SP.POP.2024.MA,1882540
Afghanistan,AFG,"Population ages 25-29, female",SP.POP.2529.FE,1370861
Afghanistan,AFG,"Population ages 25-29, male",SP.POP.2529.MA,1496467
Afghanistan,AFG,"Population ages 30-34, female",SP.POP.3034.FE,1103890
Afghanistan,AFG,"Population ages 30-34, male",SP.POP.3034.MA,1215807
Afghanistan,AFG,"Population ages 35-39, female",SP.POP.3539.FE,918739
Afghanistan,AFG,"Population ages 35-39, male",SP.POP.3539.MA,999639
Afghanistan,AFG,"Population ages 40-44, female",SP.POP.4044.FE,728479
Afghanistan,AFG,"Population ages 40-44, male",SP.POP.4044.MA,800970
Afghanistan,AFG,"Population ages 45-49, female",SP.POP.4549.FE,582534
Afghanistan,AFG,"Population ages 45-49, male",SP.POP.4549.MA,624944
Afghanistan,AFG,"Population ages 50-54, female",SP.POP.5054.FE,467805
Afghanistan,AFG,"Population ages 50-54, male",SP.POP.5054.MA,493084
Afghanistan,AFG,"Population ages 55-59, female",SP.POP.5559.FE,369172
Afghanistan,AFG,"Population ages 55-59, male",SP.POP.5559.MA,381863
Afghanistan,AFG,"Population ages 60-64, female",SP.POP.6064.FE,285466
Afghanistan,AFG,"Population ages 60-64, male",SP.POP.6064.MA,282759
Afghanistan,AFG,"Population ages 65-69, female",SP.POP.6569.FE,220383
Afghanistan,AFG,"Population ages 65-69, male",SP.POP.6569.MA,200620
Afghanistan,AFG,"Population ages 70-74, female",SP.POP.7074.FE,155938
Afghanistan,AFG,"Population ages 70-74, male",SP.POP.7074.MA,129427
Afghanistan,AFG,"Population ages 75-79, female",SP.POP.7579.FE,81208
Afghanistan,AFG,"Population ages 75-79, male",SP.POP.7579.MA,70687
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,58031
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,44550
Albania,ALB,"Population ages 00-04, male",SP.POP.0004.MA,89622
Albania,ALB,"Population ages 05-09, female",SP.POP.0509.FE,75338
Albania,ALB,"Population ages 05-09, male",SP.POP.0509.MA,84841
Albania,ALB,"Population ages 10-14, female",SP.POP.1014.FE,80638
Albania,ALB,"Population ages 10-14, male",SP.POP.1014.MA,93640
Albania,ALB,"Population ages 00-04, female",SP.POP.0004.FE,82505
Albania,ALB,"Population ages 15-19, female",SP.POP.1519.FE,102209
Albania,ALB,"Population ages 15-19, male",SP.POP.1519.MA,112218
Albania,ALB,"Population ages 20-24, female",SP.POP.2024.FE,116433
Albania,ALB,"Population ages 20-24, male",SP.POP.2024.MA,124600
Albania,ALB,"Population ages 25-29, female",SP.POP.2529.FE,113543
Albania,ALB,"Population ages 25-29, male",SP.POP.2529.MA,131728
Albania,ALB,"Population ages 30-34, female",SP.POP.3034.FE,91985
Albania,ALB,"Population ages 30-34, male",SP.POP.3034.MA,112384
Albania,ALB,"Population ages 35-39, female",SP.POP.3539.FE,74112
Albania,ALB,"Population ages 35-39, male",SP.POP.3539.MA,82968
Albania,ALB,"Population ages 40-44, female",SP.POP.4044.FE,82246
Albania,ALB,"Population ages 40-44, male",SP.POP.4044.MA,76829
Albania,ALB,"Population ages 45-49, female",SP.POP.4549.FE,93216
Albania,ALB,"Population ages 45-49, male",SP.POP.4549.MA,83846
Albania,ALB,"Population ages 50-54, female",SP.POP.5054.FE,99265
Albania,ALB,"Population ages 50-54, male",SP.POP.5054.MA,94047
Albania,ALB,"Population ages 55-59, female",SP.POP.5559.FE,102364
Albania,ALB,"Population ages 55-59, male",SP.POP.5559.MA,99030
Albania,ALB,"Population ages 60-64, female",SP.POP.6064.FE,88017
Albania,ALB,"Population ages 60-64, male",SP.POP.6064.MA,84793
Albania,ALB,"Population ages 65-69, female",SP.POP.6569.FE,66625
Albania,ALB,"Population ages 65-69, male",SP.POP.6569.MA,63788
Albania,ALB,"Population ages 70-74, female",SP.POP.7074.FE,53026
Albania,ALB,"Population ages 70-74, male",SP.POP.7074.MA,50446
Albania,ALB,"Population ages 75-79, female",SP.POP.7579.FE,42144
Albania,ALB,"Population ages 75-79, male",SP.POP.7579.MA,39520
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,42667
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,35743
Algeria,DZA,"Population ages 00-04, male",SP.POP.0004.MA,2528375
Algeria,DZA,"Population ages 05-09, female",SP.POP.0509.FE,2141363
Algeria,DZA,"Population ages 05-09, male",SP.POP.0509.MA,2232391
Algeria,DZA,"Population ages 10-14, female",SP.POP.1014.FE,1669067
Algeria,DZA,"Population ages 10-14, male",SP.POP.1014.MA,1737660
Algeria,DZA,"Population ages 00-04, female",SP.POP.0004.FE,2422461
Algeria,DZA,"Population ages 15-19, female",SP.POP.1519.FE,1387891
Algeria,DZA,"Population ages 15-19, male",SP.POP.1519.MA,1447710
Algeria,DZA,"Population ages 20-24, female",SP.POP.2024.FE,1586720
Algeria,DZA,"Population ages 20-24, male",SP.POP.2024.MA,1647963
Algeria,DZA,"Population ages 25-29, female",SP.POP.2529.FE,1832100
Algeria,DZA,"Population ages 25-29, male",SP.POP.2529.MA,1874849
Algeria,DZA,"Population ages 30-34, female",SP.POP.3034.FE,1843555
Algeria,DZA,"Population ages 30-34, male",SP.POP.3034.MA,1867303
Algeria,DZA,"Population ages 35-39, female",SP.POP.3539.FE,1680518
Algeria,DZA,"Population ages 35-39, male",SP.POP.3539.MA,1696318
Algeria,DZA,"Population ages 40-44, female",SP.POP.4044.FE,1390003
Algeria,DZA,"Population ages 40-44, male",SP.POP.4044.MA,1392969
Algeria,DZA,"Population ages 45-49, female",SP.POP.4549.FE,1143309
Algeria,DZA,"Population ages 45-49, male",SP.POP.4549.MA,1135501
Algeria,DZA,"Population ages 50-54, female",SP.POP.5054.FE,978418
Algeria,DZA,"Population ages 50-54, male",SP.POP.5054.MA,972522
Algeria,DZA,"Population ages 55-59, female",SP.POP.5559.FE,802775
Algeria,DZA,"Population ages 55-59, male",SP.POP.5559.MA,811401
Algeria,DZA,"Population ages 60-64, female",SP.POP.6064.FE,645034
Algeria,DZA,"Population ages 60-64, male",SP.POP.6064.MA,673471
Algeria,DZA,"Population ages 65-69, female",SP.POP.6569.FE,495868
Algeria,DZA,"Population ages 65-69, male",SP.POP.6569.MA,514843
Algeria,DZA,"Population ages 70-74, female",SP.POP.7074.FE,332188
Algeria,DZA,"Population ages 70-74, male",SP.POP.7074.MA,318190
Algeria,DZA,"Population ages 75-79, female",SP.POP.7579.FE,260923
Algeria,DZA,"Population ages 75-79, male",SP.POP.7579.MA,228442
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,284236
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,252092
American Samoa,ASM,"Population ages 00-04, male",SP.POP.0004.MA,..
American Samoa,ASM,"Population ages 05-09, female",SP.POP.0509.FE,..
American Samoa,ASM,"Population ages 05-09, male",SP.POP.0509.MA,..
American Samoa,ASM,"Population ages 10-14, female",SP.POP.1014.FE,..
American Samoa,ASM,"Population ages 10-14, male",SP.POP.1014.MA,..
American Samoa,ASM,"Population ages 00-04, female",SP.POP.0004.FE,..
American Samoa,ASM,"Population ages 15-19, female",SP.POP.1519.FE,..
American Samoa,ASM,"Population ages 15-19, male",SP.POP.1519.MA,..
American Samoa,ASM,"Population ages 20-24, female",SP.POP.2024.FE,..
American Samoa,ASM,"Population ages 20-24, male",SP.POP.2024.MA,..
American Samoa,ASM,"Population ages 25-29, female",SP.POP.2529.FE,..
American Samoa,ASM,"Population ages 25-29, male",SP.POP.2529.MA,..
American Samoa,ASM,"Population ages 30-34, female",SP.POP.3034.FE,..
American Samoa,ASM,"Population ages 30-34, male",SP.POP.3034.MA,..
American Samoa,ASM,"Population ages 35-39, female",SP.POP.3539.FE,..
American Samoa,ASM,"Population ages 35-39, male",SP.POP.3539.MA,..
American Samoa,ASM,"Population ages 40-44, female",SP.POP.4044.FE,..
American Samoa,ASM,"Population ages 40-44, male",SP.POP.4044.MA,..
American Samoa,ASM,"Population ages 45-49, female",SP.POP.4549.FE,..
American Samoa,ASM,"Population ages 45-49, male",SP.POP.4549.MA,..
American Samoa,ASM,"Population ages 50-54, female",SP.POP.5054.FE,..
American Samoa,ASM,"Population ages 50-54, male",SP.POP.5054.MA,..
American Samoa,ASM,"Population ages 55-59, female",SP.POP.5559.FE,..
American Samoa,ASM,"Population ages 55-59, male",SP.POP.5559.MA,..
American Samoa,ASM,"Population ages 60-64, female",SP.POP.6064.FE,..
American Samoa,ASM,"Population ages 60-64, male",SP.POP.6064.MA,..
American Samoa,ASM,"Population ages 65-69, female",SP.POP.6569.FE,..
American Samoa,ASM,"Population ages 65-69, male",SP.POP.6569.MA,..
American Samoa,ASM,"Population ages 70-74, female",SP.POP.7074.FE,..
American Samoa,ASM,"Population ages 70-74, male",SP.POP.7074.MA,..
American Samoa,ASM,"Population ages 75-79, female",SP.POP.7579.FE,..
American Samoa,ASM,"Population ages 75-79, male",SP.POP.7579.MA,..
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,..
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,..
Andorra,AND,"Population ages 00-04, male",SP.POP.0004.MA,..
Andorra,AND,"Population ages 05-09, female",SP.POP.0509.FE,..
Andorra,AND,"Population ages 05-09, male",SP.POP.0509.MA,..
Andorra,AND,"Population ages 10-14, female",SP.POP.1014.FE,..
Andorra,AND,"Population ages 10-14, male",SP.POP.1014.MA,..
Andorra,AND,"Population ages 00-04, female",SP.POP.0004.FE,..
Andorra,AND,"Population ages 15-19, female",SP.POP.1519.FE,..
Andorra,AND,"Population ages 15-19, male",SP.POP.1519.MA,..
Andorra,AND,"Population ages 20-24, female",SP.POP.2024.FE,..
Andorra,AND,"Population ages 20-24, male",SP.POP.2024.MA,..
Andorra,AND,"Population ages 25-29, female",SP.POP.2529.FE,..
Andorra,AND,"Population ages 25-29, male",SP.POP.2529.MA,..
Andorra,AND,"Population ages 30-34, female",SP.POP.3034.FE,..
Andorra,AND,"Population ages 30-34, male",SP.POP.3034.MA,..
Andorra,AND,"Population ages 35-39, female",SP.POP.3539.FE,..
Andorra,AND,"Population ages 35-39, male",SP.POP.3539.MA,..
Andorra,AND,"Population ages 40-44, female",SP.POP.4044.FE,..
Andorra,AND,"Population ages 40-44, male",SP.POP.4044.MA,..
Andorra,AND,"Population ages 45-49, female",SP.POP.4549.FE,..
Andorra,AND,"Population ages 45-49, male",SP.POP.4549.MA,..
Andorra,AND,"Population ages 50-54, female",SP.POP.5054.FE,..
Andorra,AND,"Population ages 50-54, male",SP.POP.5054.MA,..
Andorra,AND,"Population ages 55-59, female",SP.POP.5559.FE,..
Andorra,AND,"Population ages 55-59, male",SP.POP.5559.MA,..
Andorra,AND,"Population ages 60-64, female",SP.POP.6064.FE,..
Andorra,AND,"Population ages 60-64, male",SP.POP.6064.MA,..
Andorra,AND,"Population ages 65-69, female",SP.POP.6569.FE,..
Andorra,AND,"Population ages 65-69, male",SP.POP.6569.MA,..
Andorra,AND,"Population ages 70-74, female",SP.POP.7074.FE,..
Andorra,AND,"Population ages 70-74, male",SP.POP.7074.MA,..
Andorra,AND,"Population ages 75-79, female",SP.POP.7579.FE,..
Andorra,AND,"Population ages 75-79, male",SP.POP.7579.MA,..
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,..
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,..
Angola,AGO,"Population ages 00-04, male",SP.POP.0004.MA,2803152
Angola,AGO,"Population ages 05-09, female",SP.POP.0509.FE,2414154
Angola,AGO,"Population ages 05-09, male",SP.POP.0509.MA,2425919
Angola,AGO,"Population ages 10-14, female",SP.POP.1014.FE,2026200
Angola,AGO,"Population ages 10-14, male",SP.POP.1014.MA,2002897
Angola,AGO,"Population ages 00-04, female",SP.POP.0004.FE,2749390
Angola,AGO,"Population ages 15-19, female",SP.POP.1519.FE,1644830
Angola,AGO,"Population ages 15-19, male",SP.POP.1519.MA,1616143
Angola,AGO,"Population ages 20-24, female",SP.POP.2024.FE,1364692
Angola,AGO,"Population ages 20-24, male",SP.POP.2024.MA,1332443
Angola,AGO,"Population ages 25-29, female",SP.POP.2529.FE,1160165
Angola,AGO,"Population ages 25-29, male",SP.POP.2529.MA,1123075
Angola,AGO,"Population ages 30-34, female",SP.POP.3034.FE,970849
Angola,AGO,"Population ages 30-34, male",SP.POP.3034.MA,931243
Angola,AGO,"Population ages 35-39, female",SP.POP.3539.FE,785631
Angola,AGO,"Population ages 35-39, male",SP.POP.3539.MA,747957
Angola,AGO,"Population ages 40-44, female",SP.POP.4044.FE,641223
Angola,AGO,"Population ages 40-44, male",SP.POP.4044.MA,604437
Angola,AGO,"Population ages 45-49, female",SP.POP.4549.FE,505740
Angola,AGO,"Population ages 45-49, male",SP.POP.4549.MA,469026
Angola,AGO,"Population ages 50-54, female",SP.POP.5054.FE,385632
Angola,AGO,"Population ages 50-54, male",SP.POP.5054.MA,365101
Angola,AGO,"Population ages 55-59, female",SP.POP.5559.FE,320553
Angola,AGO,"Population ages 55-59, male",SP.POP.5559.MA,310774
Angola,AGO,"Population ages 60-64, female",SP.POP.6064.FE,220798
Angola,AGO,"Population ages 60-64, male",SP.POP.6064.MA,204875
Angola,AGO,"Population ages 65-69, female",SP.POP.6569.FE,148207
Angola,AGO,"Population ages 65-69, male",SP.POP.6569.MA,136057
Angola,AGO,"Population ages 70-74, female",SP.POP.7074.FE,110541
Angola,AGO,"Population ages 70-74, male",SP.POP.7074.MA,89436
Angola,AGO,"Population ages 75-79, female",SP.POP.7579.FE,67207
Angola,AGO,"Population ages 75-79, male",SP.POP.7579.MA,47282
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,52504
